FILE NAME,SITE NAME,SITE CODE,COUNTRY,CONTRIBUTOR (ABBREVIATED),CONTRIBUTOR (FULL),CONTRIBUTOR WEBSITE,CONTRIBUTOR CONTACT,ORGINATOR,ORIGINATOR WEBSITE,ORIGINATOR CONTACT,LATITUDE,LONGITUDE,COORDINATE SYSTEM,START DATE/TIME,END DATE/TIME,NUMBER OF YEARS,TIME ZONE HOURS,DATUM INFORMATION,INSTRUMENT,PRECISION,NULL VALUE,GAUGE TYPE,OVERALL RECORD QUALITYDATA COMPLETENESS BETWEEN 2013-2018,
san_francisco_ca-551a-usa-uhslc,San_Francisco_CA,551A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,37.807,-122.465,Unspecified,1897/08/01 08:00:00,2018-12-31 23:00,122,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
honolulu_hawaii-057b-usa-uhslc,Honolulu_Hawaii,057B,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,21.307,-157.867,Unspecified,1905-01-01 10:00,2018-12-31 23:00,114,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
galveston_pier_21-775a-usa-uhslc,Galveston_Pier_21,775A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,29.31,-94.793,Unspecified,1904-01-01 6:00,2018-12-31 23:00,114,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
san_diego_ca-569a-usa-uhslc,San_Diego_CA,569A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,32.713,-117.173,Unspecified,1906-01-21 8:00,2018-12-31 23:00,113,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
balboa-302a-pan-uhslc,Balboa,302A,PAN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Autoridad de Canal de Panama  Seccion de Meteorologia e Hidrologia  Division de Ingenieria  Panama Canal  Panama ,Unspecified,Unspecified,8.965,-79.573,Unspecified,1907-06-19 19:00,2018-12-31 23:00,112,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
victoria_bc-543a-can-uhslc,Victoria_BC,543A,CAN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,Unspecified,Unspecified,48.425,-123.37,Unspecified,1909-02-18 9:00,2018-12-31 23:00,110,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
portland_me-252a-usa-uhslc,Portland_ME,252A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,43.657,-70.247,Unspecified,1910-03-04 5:00,2018-12-31 23:00,109,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
atlantic_city_nj-264a-usa-uhslc,Atlantic_City_NJ,264A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,39.355,-74.418,Unspecified,1911-08-19 5:00,2018-12-31 23:00,107,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
charleston_sc-261b-usa-uhslc,Charleston_SC,261B,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,32.782,-79.925,Unspecified,1921-10-01 5:00,2018-12-31 23:00,98,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
los_angeles_ca-567a-usa-uhslc,Los_Angeles_CA,567A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,33.72,-118.272,Unspecified,1923-11-29 0:00,2018-12-31 23:00,96,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
